,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
30,/datc/ortho/Cat1_pat4_meting10_oef3.csv,0,7,153,2018-12-10 10:20:02.852084,Kasper
31,/datc/ortho/Cat1_pat1_meting10_oef3.csv,0,10,98,2018-12-10 10:21:10.128265,Kasper
32,/datc/ortho/Cat1_pat30_meting10_oef3.csv,0,5,150,2018-12-10 10:22:06.008036,Kasper
33,/datc/ortho/Cat1_pat22_meting10_oef3.csv,0,8,127,2018-12-10 10:22:41.742808,Kasper
34,/datc/ortho/Cat1_pat24_meting10_oef3.csv,0,5,118,2018-12-10 10:23:16.926781,Kasper
35,/datc/ortho/Cat1_pat10_meting10_oef3.csv,0,3,140,2018-12-10 10:24:58.797122,Kasper
36,/datc/ortho/Cat1_pat16_meting10_oef3.csv,0,15,123,2018-12-10 10:25:30.388095,Kasper
37,/datc/ortho/Cat1_pat15_meting10_oef3.csv,0,17,138,2018-12-10 10:26:06.397435,Kasper
38,/datc/ortho/Cat1_pat17_meting10_oef3.csv,0,8,127,2018-12-10 10:26:54.891445,Kasper
39,/datc/ortho/Cat1_pat3_meting10_oef3.csv,0,7,102,2018-12-10 10:28:31.581308,Kasper
40,/datc/ortho/Cat1_pat29_meting10_oef3.csv,0,25,135,2018-12-10 10:29:28.617244,Kasper
41,/datc/ortho/Cat1_pat13_meting10_oef3.csv,0,23,116,2018-12-10 10:29:56.077859,Kasper
42,/datc/ortho/Cat1_pat14_meting10_oef3.csv,0,8,98,2018-12-10 10:30:19.841540,Kasper
43,/datc/ortho/Cat1_pat18_meting10_oef3.csv,0,2,88,2018-12-10 10:30:51.285082,Kasper
44,/datc/ortho/Cat1_pat7_meting10_oef3.csv,0,17,135,2018-12-10 10:32:27.686448,Kasper
45,/datc/ortho/Cat1_pat8_meting10_oef3.csv,0,6,142,2018-12-10 10:32:47.844735,Kasper
46,/datc/ortho/Cat1_pat12_meting10_oef3.csv,0,26,134,2018-12-10 10:33:14.932843,Kasper
47,/datc/ortho/Cat1_pat6_meting10_oef3.csv,0,3,150,2018-12-10 10:34:20.390825,Kasper
48,/datc/ortho/Cat1_pat21_meting10_oef3.csv,0,6,90,2018-12-10 10:35:01.352612,Kasper
49,/datc/ortho/Cat1_pat11_meting10_oef3.csv,0,20,140,2018-12-10 10:35:34.382258,Kasper
50,/datc/ortho/Cat1_pat20_meting10_oef3.csv,0,10,93,2018-12-10 10:37:22.052485,Kasper
51,/datc/ortho/Cat1_pat5_meting10_oef3.csv,0,7,129,2018-12-10 10:37:52.909707,Kasper
52,/datc/ortho/Cat1_pat27_meting10_oef3.csv,0,11,82,2018-12-10 10:38:24.163903,Kasper
53,/datc/ortho/Cat1_pat23_meting10_oef3.csv,0,14,136,2018-12-10 10:38:53.391724,Kasper
54,/datc/ortho/Cat1_pat2_meting10_oef3.csv,0,4,163,2018-12-10 10:39:51.009346,Kasper
55,/datc/ortho/Cat1_pat29_meting10_oef4.csv,0,4,110,2018-12-10 10:40:29.977868,Kasper
56,/datc/ortho/Cat1_pat11_meting10_oef4.csv,0,10,123,2018-12-10 10:40:52.301175,Kasper
